start_id,end_id,normalized_relation
C0022023,C1179889,BE_TRANSFERRED_TO
C0107264,C0596902,BE
C0107264,C0009170,REFER_TO_AS
C0107264,C0812409,BE
C0812409,C0014948,BE
C0026237,C0162772,BE_SOURCE_OF
C0242184,C0007634,BE
C3896997,C0007634,BE
C0026237,C0007634,BE
C0030013,C0001480,BE
C1520120,C0598754,REFER_TO_AS
C1520120,C0064582,BE
C0017725,C1523389,BE
C0017797,C1523389,BE
C0205103,C0023779,BE
C0205103,C0028606,BE
C0205103,C0033684,BE
C0026237,C0007587,BE
C0026237,C0027540,ROLE_IN
C0026237,C0162638,ROLE_IN
C0026237,C0007620,BE
C1154413,C0851285,BE
C1154413,C1280500,BE
C0332197,C0162638,BE
C0007634,C0599732,BE
C0007634,C0014239,BE
C0445623,C0014239,BE
C2752543,C0007578,MEDIATE
C2752543,C0206117,MEDIATE
C0206117,C0015295,MEDIATE
C0015295,C0700321,BE
C0015295,C0870883,BE
C0015295,C3658238,BE
C0001455,C0567416,BE
C0007634,C0021701,MEDIATE
C0079189,C0021368,MEDIATE
C0079189,C0020964,MEDIATE
C0019932,C0014133,SECRETE_BY
C0019932,C0007634,BE_AT
C0525011,C0007634,BE
C0525010,C0567416,BE
C0027882,C0027908,BE
C0027908,C0221284,BE_AT
C0039062,C0021721,BE
C0019932,C0005775,ESCAPE_FROM
C0019932,C0221284,BE_AT
C0007634,C0033684,PASS_TO
C1519315,C0597357,BE
C0023688,C0597357,BE
C0597357,C0699040,LOCATE_IN
C0597357,C0007634,LOCATE_IN
C1870051,C0040648,BE
C0040648,C0023688,ACTIVATE_BY
C0023688,C0007603,BE
C0014695,C0887829,BE
C0301818,C0887829,BE
C0225336,C2960476,BE
C0028128,C0851285,MEDIATE
C0028128,C0225336,GENERATE_BY
C0028128,C0026844,BE
C0028128,C0018358,BE
C0018358,C0018338,BE
C0018338,C0007634,BE
C0018338,C0205357,BE
C0034800,C0021699,BE
C1517050,C0023688,BE
C1517880,C0022009,BE
C1517880,C0751981,ACTIVATE_BY
C1517880,C0014442,ACTIVATE_BY
C1517880,C0030940,BE
C1517880,C0040648,ACTIVATE_BY
C3820630,C0596290,BE
C1704259,C1821244,BE
C1520113,C1821244,BE
C4688374,C1821244,BE
C0699040,C0008073,BE
C0699040,C0006826,BE
C1145667,C0597357,BE
C0206588,C0023688,BE
C1235660,C0023688,BE
C1235660,C0007634,BE
C0007634,C0007610,BE
C0007634,C0040649,BE
C1704259,C0007634,BE
C0033684,C0243125,BE
C0006675,C0040648,BE
C1416917,C1710082,BE
C1149299,C0022023,BE
C1149299,C0031715,BE
C1449886,C0205254,BE
C1879547,C1425569,BE
C1425569,C0752312,BE
C0211705,C1333198,BE
C0211705,C0040648,BE
C1879547,C0031623,BE
C0031623,C0037083,BE
C1879547,C0018353,BE
C0026882,C0020291,BE
C0020291,C1710082,BE
C0024906,C0175996,BE
C0175996,C0220806,BE
C0220806,C0037083,BE
C1514762,C0220781,BE
C1514762,C0014442,BE
C1514762,C0205177,BE
C0040648,C0007610,BE
C0040648,C0017262,BE
C0392747,C0172203,BE
C0392747,C0007634,BE
C0033681,C1709915,BE
C1414387,C1709915,BE
C4284029,C3891814,BE
C0031678,C0031603,BE
C0031678,C0037083,BE
C0206364,C0021699,BE
C0205263,C0033681,BE
C1336653,C0597357,BE
C1336653,C0205369,BE
C0080298,C1336653,BE
C0282534,C0031715,BE
C0282535,C0033684,MEDIATE
C0682972,C0007603,BE
C0597357,C0175996,BE
C0439855,C3894201,BE
C3894201,C0678640,OCCUR_IN
C1332447,C0017337,BE
C1332447,C0021549,BE
C0021549,C0006675,BE
C0023688,C0175996,BE
C3824492,C1179920,BE
C0521447,C0040649,BE
C0521447,C0040649,BE
C1704259,C0033684,BE
C0033684,C0037083,BE
C1145667,C0010813,BE
C0010813,C0521447,BE
C0521447,C2919060,BE
C1511625,C0175996,REFER_TO_AS
C0033684,C0597357,BE_AT
C0597357,C2612269,BE
C0332197,C0243125,BE
C1145667,C0439855,BE
C0439855,C0006675,BE
C0006675,C0007610,BE
C0006675,C2919060,BE
C1514758,C0004793,BE
C0004793,C0017262,BE
C0033684,C0567416,BE
C1449886,C1155494,BE
C1449886,C0014442,BE
