START_ID,END_ID,TYPE
C0031623,C0037083,activates
C1879547,C0018353,hydrolyzes
C0026882,C0020291,lead_to
C0020291,C1710082,can_lead_to
C0024906,C0175996,cause
C0175996,C0220806,triggers
C0220806,C0037083,lead_to
C1514762,C0220781,leads_to
C1514762,C0014442,leads_to
C1514762,C0205177,leads_to
C0040648,C0007610,enter
C0040648,C0017262,alter
C0392747,C0172203,can_stimulate
C0392747,C0007634,can_promote
C0033681,C1709915,phosphorylate
C1414387,C1709915,add phosphates to
C4284029,C3891814,phosphorylate
C0031678,C0031603,can_remove
C0031678,C0037083,play_an_inhibitory_role_in
C0206364,C0021699,are
C0205263,C0033681,activates
C1336653,C0597357,interacts_with
C1336653,C0205369,phosphorylates
C0080298,C1336653,is_the_prototype_for
C0282534,C0031715,bind_to
C0282535,C0033684,mediate
C0682972,C0007603,traverse
C0597357,C0175996,associates_with
C0439855,C3894201,results_in
C3894201,C0678640,occurs_through
C1332447,C0017337,involves
C1332447,C0021549,involves
C0021549,C0006675,releases
C0023688,C0175996,interact_with
C3824492,C1179920,binds_to
C0521447,C0040649,can_result_in
C0521447,C0040649,can_result_in
C1704259,C0033684,rely_on
C0033684,C0037083,transduce
C1145667,C0010813,leads_to
C0010813,C0521447,leads_to
C0521447,C2919060,forms
C1511625,C0175996,is_also_known_as
C0033684,C0597357,act_through
C0597357,C2612269,regulate
C0332197,C0243125,causes
C1145667,C0439855,disrupts
C0439855,C0006675,stabilizes
C0006675,C0007610,translocates_to
C0006675,C2919060,forms
C1514758,C0004793,triggers
C0004793,C0017262,leads_to
C0033684,C0567416,allows
C1449886,C1155494,organize
C1449886,C0014442,link
C1449886,C0439855,promote
C0282534,C0033684,mediates
C0282535,C0033684,mediates
C0079119,C0746922,can_be_considered
C0220806,C0227088,can_be_considered
C0037083,C0040649,modulate
C0040649,C0040649,modulates
C0521447,C0040649,modulates
C0040649,C0007610,allow
C0031715,C0040649,causes
C0086661,C0040648,is_a
C0162508,C0040648,is_a
C0079419,C0040648,is_a
C0086661,C0017337,regulates
C0162508,C0017337,regulates
C0079419,C0017262,triggers
C0040648,C0012854,contain
C0012854,C0162326,permit
C1149367,C0086860,located_in
C0040648,C0220905,bind_to
C0220905,C0086222,is_a
C0086222,C0017337,regulate
C1156187,C0017262,regulates
C0018284,C0034963,involved_in
C0018284,C0043240,involved_in
C0040648,C0040649,induces
C0040648,C0014442,recruits
C0040648,C1333030,recruits
C0040648,C0035681,recruits
C0035681,C1328948,is_responsible_for
C0018284,C0033684,stimulate
C0033684,C0007620,required_for
C0033684,C0007595,required_for
C0033684,C0007590,required_for
C1149472,C0597358,mediated_by
C0597358,C0017337,influences
C0017337,C0007586,promote
C0017337,C0449432,enhance
C0018284,C0596290,stimulate
C0018284,C0007620,stimulate
C0018284,C0600210,drive
C0018284,C0007589,drive
C0018284,C0179586,drive
C0018284,C1623047,relevant_to
C0018284,C0043240,relevant_to
C0018284,C0334094,involved_in
C0018284,C0334094,involved_in
C0062534,C0016030,produced_by
C0062534,C0007634,produced_by
C0062534,C0225336,produced_by
C0062534,C0334094,enhances
C0062534,C0334094,enhances
C0062534,C0007608,increases
C0062534,C0062534,also_known_as
C0064294,C0681698,stimulates
C0064294,C1819952,stimulates
C0064294,C0007589,stimulates
C0064294,C1565802,is_a
C0015350,C0021868,is_a
C1521761,C0334094,can_cause
C4727023,C0033713,converts
C0029016,C0334094,drives
C0029016,C0220781,drives
C0018284,C0043240,involved_in
C0018284,C0034963,involved_in
C1280500,C0007621,can_drive
C0242275,C3849998,belongs_to
C0040691,C3849998,belongs_to
C0242275,C0034802,binds_to
C0040690,C0034802,binds_to
C0024432,C0242275,produces
C0024432,C0040690,produces
C0014597,C0242275,produces
C0014597,C0040690,produces
C0242275,C0227525,is_mitogenic_for
C0242275,C0016030,is_mitogenic_for
C0040690,C0227525,is_mitogenic_for
C0040690,C0016030,is_mitogenic_for
C0812298,C0243036,is_also_known_as
C0812298,C0034802,is_also_known_as
C0026882,C0242379,occur_in
C1517480,C0242379,occur_in
C0069515,C0069515,is_also_known_as
C0069515,C0006142,is_overexpressed_in
C0003241,C0006826,treats
C1328819,C0006826,treats
C0062534,C0062534,is_also_known_as
C0021760,C0227525,has_mitogenic_effects_on
C0021760,C0014597,has_mitogenic_effects_on
C0021760,C1622501,promotes
C0021760,C0038952,enhances
C0016030,C0021760,produces
C1257975,C0021760,produces
C0014257,C0021760,produces
C0036734,C0252186,activates
C0025646,C0021760,is_receptor_for
C0025646,C1306837,is_overexpressed_in
C0025646,C0238463,is_overexpressed_in
C0025646,C1306837,is_mutated_in
C0025646,C0238463,is_mutated_in
C5446063,C0920425,evaluated_as
C0916084,C1513411,activated_by
C1447990,C1513411,activated_by
C0032200,C1515922,stored_in
C0032173,C0032200,releases
C0001280,C0032200,produces
C0014257,C0032200,produces
C1135918,C0032200,produces
C0032200,C0071253,binds_to
C0032200,C0071253,binds_to
C0032200,C1326347,induces
C0032200,C1655807,induces
C0032200,C0334094,induces
C0032200,C0220781,induces
C0032200,C0440752,is_chemotactic_for
C1335207,C0138514,is_a
C0078058,C0078058,is_also_known_as
C0078058,C0302600,causes
C0388176,C0013936,involved_in
C1335207,C0013936,involved_in
C0388911,C0302600,stimulates
C0388911,C1257789,stimulates
C0004015,C0302600,stimulates
C0004015,C1257789,stimulates
C0078058,C0007634,promotes
C0078058,C1655807,promotes
C0078058,C0595862,induces
C0078058,C0162337,increases
C0242184,C0022023,induces
C0242184,C0215848,activates
C0032200,C0078058,induces
C0040690,C0078058,induces
C1256770,C0378516,binds_to
C1256770,C0378796,binds_to
C1256770,C0242275,binds_to
C0378796,C0302600,is_important_for
C0003241,C0740457,treats
C0003241,C0007102,treats
C0006826,C0302600,requires
C5399960,C0242383,treats
C5399960,C0035309,treats
C5399960,C0730285,treats
C0242383,C4024790,causes
C0442805,C0032914,contributes_to
C0079349,C0079349,is_a
C0380603,C0380603,is_a
C1565802,C0064294,is_also_known_as
C0221135,C0019143,associates_with
C0019143,C0015350,located_in
C0221135,C0016026,transduce_signals_through
C0221135,C0043250,contributes_to
C0221135,C0018951,contributes_to
C0380603,C0302600,involved_in
C0040690,C0040690,is_isoform_of
C0040690,C0040690,is_isoform_of
C0040690,C0040690,is_isoform_of
C0040690,C0677517,is_member_of
C0053932,C0677517,is_member_of
C0050668,C0677517,is_member_of
C0021463,C0677517,is_member_of
C0687670,C0677517,is_member_of
C0040690,C0033684,is_a
C0005821,C0040690,produces
C0014257,C0040690,produces
C0007634,C0040690,produces
C0597304,C0205460,yields
C0076930,C2746015,have
C2746015,C0031715,induces
C0031715,C0385939,form_heterodimers_with
C0040690,C0220781,drives
C0040690,C0220781,stimulates
C0040690,C0033684,decreases
C0040690,C0033684,increases
C0040690,C0021368,inhibits
C0040690,C0596873,inhibits
C0040690,C0026606,inhibits
C0015350,C0033684,is_a
C0015350,C0040300,is_part_of
C0007634,C0243107,are_critical_for
C0007634,C0043240,are_critical_for
C0015350,C2825961,provides_mechanical_support_for
C0015350,C1622501,provides_mechanical_support_for
C0015350,C0007634,provides_mechanical_support_for
C0015350,C0596290,controls
C0015350,C0018284,binds
C0015350,C0021701,signals_through
C0699040,C0010853,interact_with
C0085175,C0887870,is_part_of
C0001271,C0887870,is_part_of
C0085182,C0887870,is_part_of
C1257900,C0037083,activate
C0037083,C0021701,mediated_through
C3263722,C1257900,activates
C0021368,C1257900,activates
C0678594,C0004799,requires
C0678594,C1179132,requires
C0025255,C1300196,is_critical_for
C0205266,C1300196,is_critical_for
C0332453,C0017337,results_in
C0332453,C4688352,results_in
